name,niche,city,address,phone,possible_site,instagram_search,google_search,maps
"Cannonball Pools","Pool / spa install","Pittstown","367 Pittstown Road, Pittstown, NJ, 08867","+1-908-200-7366","https://www.cannonball-pools.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Cannonball%20Pools%20Pittstown","https://www.google.com/search?q=site:instagram.com+Cannonball%20Pools%20Pittstown","https://www.google.com/maps/search/?api=1&query=40.5816068,-74.9586209"
"Colts Neck Smiles","Dental practice","Colts Neck","265 NJ 34, Colts Neck, NJ, 07722","+1-732-431-0800","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Colts%20Neck%20Smiles%20Colts%20Neck","https://www.google.com/search?q=site:instagram.com+Colts%20Neck%20Smiles%20Colts%20Neck","https://www.google.com/maps/search/?api=1&query=40.2779965,-74.169801"
"Cranford Smiles","Dental practice","","","+1 908-272-0787","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Cranford%20Smiles%20NJ","https://www.google.com/search?q=site:instagram.com+Cranford%20Smiles","https://www.google.com/maps/search/?api=1&query=40.657072,-74.3050222"
"DDS Craig Abramowicz","Dental practice","","","+1 732-432-5982","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20DDS%20Craig%20Abramowicz%20NJ","https://www.google.com/search?q=site:instagram.com+DDS%20Craig%20Abramowicz","https://www.google.com/maps/search/?api=1&query=40.4466792,-74.3956835"
"Edison Plants and Flowers","Landscaping / hardscape","Edison","1845 Hwy. 27, Edison, NJ, 08817","+1 732-572-3662","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Edison%20Plants%20and%20Flowers%20Edison","https://www.google.com/search?q=site:instagram.com+Edison%20Plants%20and%20Flowers%20Edison","https://www.google.com/maps/search/?api=1&query=40.5153667,-74.4032285"
"Elegant Spa","Med spa / aesthetics / wellness","","","+1-908-431-5659","https://elegantspa.net/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Elegant%20Spa%20NJ","https://www.google.com/search?q=site:instagram.com+Elegant%20Spa","https://www.google.com/maps/search/?api=1&query=40.4802019,-74.6560854"
"Family Dentist Cosmetic & Implants","Dental practice","","1313 Clove Road, 10301","+1-718-273-1101","https://familydentist.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Family%20Dentist%20Cosmetic%20%26%20Implants%20NJ","https://www.google.com/search?q=site:instagram.com+Family%20Dentist%20Cosmetic%20%26%20Implants","https://www.google.com/maps/search/?api=1&query=40.6154501,-74.1023301"
"Four Season Spa","Med spa / aesthetics / wellness","","","+1 908-612-9888","https://www.fourseasonbeautyspa.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Four%20Season%20Spa%20NJ","https://www.google.com/search?q=site:instagram.com+Four%20Season%20Spa","https://www.google.com/maps/search/?api=1&query=40.657135,-74.3048451"
"Garden State Dental","Dental practice","","","+1 732-276-4135","https://gardenstatedental.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Garden%20State%20Dental%20NJ","https://www.google.com/search?q=site:instagram.com+Garden%20State%20Dental","https://www.google.com/maps/search/?api=1&query=40.4465797,-74.3956562"
"Good Earth Nursery","Landscaping / hardscape","Cream Ridge","257 Route 539, Cream Ridge, NJ, 08514","+1-908-307-3211","https://goodearth.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Good%20Earth%20Nursery%20Cream%20Ridge","https://www.google.com/search?q=site:instagram.com+Good%20Earth%20Nursery%20Cream%20Ridge","https://www.google.com/maps/search/?api=1&query=40.1260581,-74.5249765"
"Great Smiles of Elizabeth","Dental practice","","757 North Broad Street, 07208","+1-908-352-7730","https://greatsmiles.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Great%20Smiles%20of%20Elizabeth%20NJ","https://www.google.com/search?q=site:instagram.com+Great%20Smiles%20of%20Elizabeth","https://www.google.com/maps/search/?api=1&query=40.6816239,-74.2139702"
"Greenhaus Jewelers","Jewelry","South Amboy","128 South Broadway Street, South Amboy, NJ, 08879","+17325258880","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Greenhaus%20Jewelers%20South%20Amboy","https://www.google.com/search?q=site:instagram.com+Greenhaus%20Jewelers%20South%20Amboy","https://www.google.com/maps/search/?api=1&query=40.482129,-74.2793458"
"H. Ballal, D.D.S.","Dental practice","","3371 Richmond Avenue, 10312","+1-718-948-3707","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20H.%20Ballal%2C%20D.D.S.%20NJ","https://www.google.com/search?q=site:instagram.com+H.%20Ballal%2C%20D.D.S.","https://www.google.com/maps/search/?api=1&query=40.5564508,-74.1686156"
"Healthy Smiles Staten Island","Dental practice","","","+1-718-948-1600","https://healthysmiles.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Healthy%20Smiles%20Staten%20Island%20NJ","https://www.google.com/search?q=site:instagram.com+Healthy%20Smiles%20Staten%20Island","https://www.google.com/maps/search/?api=1&query=40.5601985,-74.1772522"
"Implant Center of Staten Island","Dental practice","","4641 Hylan Boulevard, 10312","+1-718-984-6400","https://implantcenter-dentistry.co.uk/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Implant%20Center%20of%20Staten%20Island%20NJ","https://www.google.com/search?q=site:instagram.com+Implant%20Center%20of%20Staten%20Island","https://www.google.com/maps/search/?api=1&query=40.5297316,-74.1612302"
"John's Tree Service","Landscaping / hardscape","Levittown","161 Forsythia Drive South, Levittown, PA, 19056","+1 215-499-1344","https://www.hugedomains.com/domain_profile.cfm?d=johnstree.com","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20John's%20Tree%20Service%20Levittown","https://www.google.com/search?q=site:instagram.com+John's%20Tree%20Service%20Levittown","https://www.google.com/maps/search/?api=1&query=40.156101,-74.8865912"
"Kay Jewelers","Jewelry","Holmdel","2131 NJ 35, Holmdel, NJ, 07733","+1-732-203-0194","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Kay%20Jewelers%20Holmdel","https://www.google.com/search?q=site:instagram.com+Kay%20Jewelers%20Holmdel","https://www.google.com/maps/search/?api=1&query=40.4151534,-74.158785"
"Kelly Mac Interiorscapes","Landscaping / hardscape","Pittstown","26 Sky Manor Road, Pittstown, NJ, 08867","+1 908 996 0505","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Kelly%20Mac%20Interiorscapes%20Pittstown","https://www.google.com/search?q=site:instagram.com+Kelly%20Mac%20Interiorscapes%20Pittstown","https://www.google.com/maps/search/?api=1&query=40.5716891,-74.9733155"
"Kitchen Cabinets Sales and Installation","Furniture / cabinetry / interiors","","","+1-888-718-4467","https://americanwoodmark.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Kitchen%20Cabinets%20Sales%20and%20Installation%20NJ","https://www.google.com/search?q=site:instagram.com+Kitchen%20Cabinets%20Sales%20and%20Installation","https://www.google.com/maps/search/?api=1&query=40.165351,-74.8754211"
"Manville Family Dental","Dental practice","","","+1-908-725-0900","https://manvillefamilydental.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Manville%20Family%20Dental%20NJ","https://www.google.com/search?q=site:instagram.com+Manville%20Family%20Dental","https://www.google.com/maps/search/?api=1&query=40.5435896,-74.586936"
