name,niche,city,address,phone,score,instagram_confirmed,possible_site,instagram_search,google_search,maps
"Massage - Moonlight Day Spa","Med spa / aesthetics / wellness","South Plainfield","901 Oak Tree Avenue, South Plainfield, NJ, 07080","+1-848-319-0736","8","true","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Massage%20-%20Moonlight%20Day%20Spa%20South%20Plainfield","https://www.google.com/search?q=site:instagram.com+Massage%20-%20Moonlight%20Day%20Spa%20South%20Plainfield","https://www.google.com/maps/search/?api=1&query=40.5785628,-74.3907931"
"Value City Furniture","Furniture / cabinetry / interiors","Howell","4831 US Rt. 9, Howell, NJ, 07731","+1-848-249-1414","8","true","https://shopvcf.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Value%20City%20Furniture%20Howell","https://www.google.com/search?q=site:instagram.com+Value%20City%20Furniture%20Howell","https://www.google.com/maps/search/?api=1&query=40.1332533,-74.2209927"
"New Clean Massage","Med spa / aesthetics / wellness","Manville","248 South Main Street, Manville, NJ, 08835","+1-718-559-7431","6","true","https://newclean.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20New%20Clean%20Massage%20Manville","https://www.google.com/search?q=site:instagram.com+New%20Clean%20Massage%20Manville","https://www.google.com/maps/search/?api=1&query=40.5394875,-74.5884917"
"Somerset Dental Associates","Dental practice","","311 South Main Street","+1-908-253-3660","6","true","https://www.somersetdentalassociates.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Somerset%20Dental%20Associates%20NJ","https://www.google.com/search?q=site:instagram.com+Somerset%20Dental%20Associates","https://www.google.com/maps/search/?api=1&query=40.5383878,-74.5887123"
"Sunflower Spa Inc.","Med spa / aesthetics / wellness","Parlin","984 US 9, Parlin, NJ, 08859","+1 732-727-1455","6","true","https://bolahitlincah.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Sunflower%20Spa%20Inc.%20Parlin","https://www.google.com/search?q=site:instagram.com+Sunflower%20Spa%20Inc.%20Parlin","https://www.google.com/maps/search/?api=1&query=40.4584471,-74.2960149"
"Tuxedo World","Bridal / formalwear","","2971 Richmond Avenue, 10314","+1-718-698-4859","6","true","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Tuxedo%20World%20NJ","https://www.google.com/search?q=site:instagram.com+Tuxedo%20World","https://www.google.com/maps/search/?api=1&query=40.5787387,-74.1689848"
"Ying Health Spa","Med spa / aesthetics / wellness","Parlin","3195 Washington Road, Parlin, NJ, 08859","+1 848-468-6846","6","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Ying%20Health%20Spa%20Parlin","https://www.google.com/search?q=site:instagram.com+Ying%20Health%20Spa%20Parlin","https://www.google.com/maps/search/?api=1&query=40.4682867,-74.3064493"
"Za-zen Chinese Massage","Med spa / aesthetics / wellness","Sayreville","4500 Bordentown Avenue, Sayreville, NJ, 08872","+1 732-313-6895","6","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Za-zen%20Chinese%20Massage%20Sayreville","https://www.google.com/search?q=site:instagram.com+Za-zen%20Chinese%20Massage%20Sayreville","https://www.google.com/maps/search/?api=1&query=40.4298757,-74.3423395"
"Pintoo Jewelers","Jewelry","Iselin","1386 Oak Tree Road, Iselin, NJ, 08830","","5","","https://pintoojewelers.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Pintoo%20Jewelers%20Iselin","https://www.google.com/search?q=site:instagram.com+Pintoo%20Jewelers%20Iselin","https://www.google.com/maps/search/?api=1&query=40.5739215,-74.3261187"
"The Ink'n Ship","Tattoo studio","Manville","36 South Main Street, Manville, NJ, 08835","+1-908-210-9029","5","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20The%20Ink'n%20Ship%20Manville","https://www.google.com/search?q=site:instagram.com+The%20Ink'n%20Ship%20Manville","https://www.google.com/maps/search/?api=1&query=40.5434663,-74.5873109"
"Wild Card Tattoo","Tattoo studio","Sayreville","109 Main Street, Sayreville, NJ, 08872","+1-732-307-2222","5","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Wild%20Card%20Tattoo%20Sayreville","https://www.google.com/search?q=site:instagram.com+Wild%20Card%20Tattoo%20Sayreville","https://www.google.com/maps/search/?api=1&query=40.4611402,-74.3614874"
"Mr. Kitchen & Bath","Furniture / cabinetry / interiors","","","+1 908-272-7991","4","","https://mrkitchen.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Mr.%20Kitchen%20%26%20Bath%20NJ","https://www.google.com/search?q=site:instagram.com+Mr.%20Kitchen%20%26%20Bath","https://www.google.com/maps/search/?api=1&query=40.6493475,-74.2949879"
"Pro-Fit Outdoor Living","Furniture / cabinetry / interiors","","","+1-718-532-4333","4","","https://profitoutdoorliving.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Pro-Fit%20Outdoor%20Living%20NJ","https://www.google.com/search?q=site:instagram.com+Pro-Fit%20Outdoor%20Living","https://www.google.com/maps/search/?api=1&query=40.5283255,-74.2367322"
"Robert Del Presto D.M.D.","Dental practice","","","+1-732-840-1300","4","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Robert%20Del%20Presto%20D.M.D.%20NJ","https://www.google.com/search?q=site:instagram.com+Robert%20Del%20Presto%20D.M.D.","https://www.google.com/maps/search/?api=1&query=40.0748571,-74.1108431"
"The Rush Market","Furniture / cabinetry / interiors","","","+1-888-292-2165","4","","https://www.rushmarket.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20The%20Rush%20Market%20NJ","https://www.google.com/search?q=site:instagram.com+The%20Rush%20Market","https://www.google.com/maps/search/?api=1&query=40.5574642,-74.301429"
